"Pág.","Mês","Ano","REMUNERAÇÃOMES","VA Funcionario 0","Seguro Vida Fun 0","Reembolso VR","Vale Ref Func 0","Hr Adic Pericul","INSS Normal 0","IRF Normal 0","Adt Norm Desc 0","DSR Adicional","Vale Ref Func 22","Hr Ext Diu 60%","Hr Ext Diu 80%","Vale Gas 0","Vale Transp Fun 0","Vale Ref Func 20","Smart 500 QC 0","Vale Transp Fun 42","Hrs Atrasos","Vale Ref Func 21","DSR","Vale Ref Func 25","Vale Transp Fun 50","Vale Transp Fun 46","Part Lucr Resul","IRF Part Result 0","Dif. Sal Diss","PLR Pago 0","Reemb Desc Inde","Dif Diss VR","13º Sal. Adto","13º. Adto Desc 0","Hr Adic Noturno","INSS 13o. Sal 0","Hr Ext Not 80%","Hr Supl Ext Not","13º Norm Recal","13º Adic Recal","13º Normal","13º Adicionais","IRF 13o. Sal 0","13º Adic Desc 0","Vale Transp Fun 40","Vale Transp Fun 70","Reemb. Despesas","Multas 0","Reemb. Ass. Méd","Vale Ref Func 23","Vale Transp Fun 86","Ferias Recebida 0","IRF Recol Fer 0","Fer Normais","Fer 1/3","Dif.Diss.Ferias","Dif Diss HE/DSR","Dif. Diss. Peri","Médias Férias","13º Adic Adto","Hr Ext Not 60%","Vale Ref Func 19","Vale Transp Fun 38","Hr Ext Diu 100%"
"4","09","2018","104,49","48,07","1,76","","","31,35","349,01","","","36,82","","86,43","60,85","","","","155,66","","","","","","","","","","","","","","1.018,72","","","","","","","","","","","","","","","","","","","3.525,03","32,79","4,32","713,23","","","","","","","","",""
"4","10","2018","","","","","","","","","","","","","","","","","","","","","","","","","3.878,54","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","10","2018","1.516,01","48,07","1,82","33,00","","155,66","228,93","0,00","762,39","43,72","","4,48","90,96","","","66,00","","","","","","","","","3.878,54","","3,80","3.878,54","","","","","","","","","","","","","","","","","","","","","","181,36","","","50,94","95,17","6,70","1,14","17,01","","","","",""
"4","11","2018","1.624,30","53,86","1,82","","","487,29","229,13","0,00","844,64","86,87","","170,99","176,50","","","72,30","155,66","","","","","","","","","","","","","","4,48","","","","","","","","","","","","","","30,00","","","","","","","","","","","","","298,00","","","",""
"4","12","2018","1.624,30","100,00","","","","","","","844,64","94,39","","","","","","","","","1,60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","12","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","764,00","","149,65","","","","","1.528,07","134,77","0,00","261,00","","","","","","","","","","","","","","","","","","","",""
"5","01","2019","1.624,30","50,00","1,82","","","487,29","208,12","0,00","844,64","33,49","","99,56","64,51","","","","155,66","","","","","86,25","","","","","","","","","","","0,56","","","97,46","","","","","","","","","","","","","","","","","","","","","","","4,48","","",""
"5","02","2019","","","","","","","","","","","","","","","","","","","","","","","","","633,48","0,00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","02","2019","1.624,30","50,00","1,82","","","487,29","216,59","0,00","844,64","49,17","","120,31","125,55","4,48","","","","","","","","","","","633,48","","","633,48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65,55","97,46",""
"5","03","2019","1.624,30","50,00","1,82","","","487,29","221,46","0,00","844,64","58,18","","114,66","121,23","4,48","","","155,66","97,46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79,35","","","","","","","","","","","","","","55,04"
